content,author,source
"Dầu nói ngàn câu kệ
Nhưng không gì lợi ích,
Tốt hơn nói một câu,
Nghe xong, được tịnh lạc.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 101
"Dầu nói trăm câu kệ
Nhưng không gì lợi ích,
Tốt hơn một câu pháp,
Nghe xong, được tịnh lạc.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 102
"Dầu tại bãi chiến trường
Thắng ngàn ngàn quân địch,
Tự thắng mình tốt hơn,
Thật chiến thắng tối thượng.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 103
"Tự thắng, tốt đẹp hơn,
Hơn chiến thắng người khác.
Người khéo điều phục mình,
Thường sống tự chế ngự.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 104
"Dầu Thiên Thần, Thát Bà,
Dầu Ma vương, Phạm Thiên
Không ai chiến thắng nổi,
Người tự thắng như vậy.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 105
"Tháng tháng bỏ ngàn vàng,
Tế tự cả trăm năm,
Chẳng bằng trong giây lát,
Cúng dường bậc tự tu.
Cúng dường vậy tốt hơn,
Hơn trăm năm tế tự.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 106
"Dầu trải một trăm năm,
Thờ lửa tại rừng sâu,
Chẳng bằng trong giây lát,
Cúng dường bậc tự tu.
Cúng dường vậy tốt hơn,
Hơn trăm năm tế tự.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 107
"Suốt năm cúng tế vật,
Để cầu phước ở đời.
Không bằng một phần tư
Kính lễ bậc chánh trực.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 108
"Thường tôn trọng, kính lễ
Bậc kỳ lão trưởng thượng,
Bốn pháp được tăng trưởng:
Thọ, sắc, lạc, sức mạnh.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 109
"Dầu sống một trăm năm
Ác giới, không thiền định,
Tốt hơn sống một ngày,
Trì giới, tu thiền định.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 110
"Ai sống một trăm năm,
Ác tuệ, không thiền định.
Tốt hơn sống một ngày,
Có tuệ, tu thiền định.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 111
"Ai sống một trăm năm,
Lười nhác không tinh tấn,
Tốt hơn sống một ngày
Tinh tấn tận sức mình.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 112
"Ai sống một trăm năm,
Không thấy pháp sinh diệt,
Tốt hơn sống một ngày,
Thấy được pháp sinh diệt.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 113
"Ai sống một trăm năm,
Không thấy câu bất tử,
Tốt hơn sống một ngày,
Thấy được câu bất tử.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 114
"Ai sống một trăm năm,
Không thấy pháp tối thượng,
Tốt hơn sống một ngày,
Thấy được pháp tối thượng.",Kinh Pháp Cú,Phẩm Một Ngàn - Bài Kệ 115
"Hãy gấp làm điều lành,
Ngăn tâm làm điều ác.
Ai chậm làm việc lành,
Ý ưa thích việc ác.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 116
"Nếu người làm điều ác,
Chớ tiếp tục làm thêm.
Chớ ước muốn điều ác,
Chứa ác, tất chịu khổ.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 117
"Nếu người làm điều thiện,
Nên tiếp tục làm thêm.
Hãy ước muốn điều thiện,
Chứa thiện, được an lạc.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 118
"Người ác thấy là hiền.
Khi ác chưa chín muồi,
Khi ác nghiệp chín muồi,
Người ác mới thấy ác.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 119
"Người hiền thấy là ác,
Khi thiện chưa chín muồi.
Khi thiện được chín muồi,
Người hiền thấy là thiện.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 120
"Chớ chê khinh điều ác,
Cho rằng ""chưa đến mình"",
Như nước nhỏ từng giọt,
Rồi bình cũng đầy tràn.
Người ngu chứa đầy ác
Do chất chứa dần dần.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 121
"Chớ chê khinh điều thiện
Cho rằng ""Chưa đến mình,""
Như nước nhỏ từng giọt,
Rồi bình cũng đầy tràn.
Người trí chứa đầy thiện,
Do chất chứa dần dần.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 122
"Ít bạn đường, nhiều tiền,
Người buôn tránh đường hiểm.
Muốn sống, tránh thuốc độc,
Hãy tránh ác như vậy.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 123
"Bàn tay không thương tích,
Có thể cầm thuốc độc.
Không thương tích, tránh độc,
Không làm, không có ác.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 124
"Hại người không ác tâm,
Người thanh tịnh, không uế,
Tội ác đến kẻ ngu,
Như ngược gió tung bụi.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 125
"Một số sinh bào thai,
Kẻ ác sinh địa ngục,
Người thiện lên cõi trời,
Vô lậu chứng Niết Bàn.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 126
"Không trên trời, giữa biển,
Không lánh vào động núi,
Không chỗ nào trên đời,
Trốn được quả ác nghiệp.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 127
"Không trên trời, giữa biển,
Không lánh vào động núi,
Không chỗ nào trên đời,
Trốn khỏi tay thần chết.",Kinh Pháp Cú,Phẩm Điều Ác - Bài Kệ 128
"Mọi người sợ hình phạt,
Mọi người sợ tử vong.
Lấy mình làm ví dụ
Không giết, không bảo giết.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 129
"Mọi người sợ hình phạt,
Mọi người thích sống còn;
Lấy mình làm ví dụ,
Không giết, không bảo giết.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 130
"Chúng sanh cầu an lạc,
Ai dùng trượng hại người,
Để tìm lạc cho mình,
Đời sau không được lạc.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 131
"Chúng sanh cầu an lạc,
Không dùng trượng hại người,
Để tìm lạc cho mình,
Đời sau được hưởng lạc.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 132
"Chớ nói lời ác độc,
Nói ác, bị nói lại,
Khổ thay lời phẩn nộ,
Đao trượng phản chạm mình.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 133
"Nếu tự mình yên lặng,
Như chiếc chuông bị bể.
Ngươi đã chứng Niết Bàn
Ngươi không còn phẩn nộ.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 134
"Với gậy người chăn bò,
Lùa bò ra bãi cỏ;
Cũng vậy, già và chết,
Lùa người đến mạng chung.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 135
"Người ngu làm điều ác,
Không ý thức việc làm.
Do tự nghiệp, người ngu
Bị nung nấu, như lửa.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 136
"Dùng trượng phạt không trượng,
Làm ác người không ác.
Trong mười loại khổ đau,
Chịu gấp một loại khổ.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 137
"Hoặc khổ thọ khốc liệt,
Thân thể bị thương vong,
Hoặc thọ bệnh kịch liệt,
Hay loạn ý tán tâm.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 138
"Hoặc tai họa từ vua,
Hay bị vu trọng tội;
Bà con phải ly tán,
Tài sản bị nát tan.",Kinh Pháp Cú,Phẩm Hình Phạt - Bài Kệ 139
